Name,Rules Text,Mana Cost,Type,Subtype,Attack,Health,Flavourtext,Class
Spore Animus,Upon Entering The Field - Return target unit from discard to your hand.,4,Unit,Necromancer,2,2,,
Sporeburst Warrior,Upon Death - Put three 1/1 mushy on the field.,3,Unit,Mushy,0,1,,
Sporemage,"Whenever you cast an spell, put a 1/1 mushy unit on the field.",3,Unit,Mushy Sorcerer,0,2,,
Storm,Quests cannot succeed this turn.,3,Spell,Reaction,,,"""Questing? In this weather?""",
Summoning Circle,"Units cost (2) less to cast, to a minimum of (1).",4,Building,Portal,0,4,,
Suprise Action,Draw a card. You may play a reaction as an action this turn.,1,Spell,Action,,,,
Suprise Reaction,Draw a card. You may play an action as a reaction this turn.,1,Spell,Reaction,,,,
Tainted Bonker,"Upon Entering The Field - Gain X attack and X health, where X is the mana spent to cast this unit and exhaust this unit.",X,Unit,Bonker,0,0,"""Ashes to ashes, bonk to bonks.""",
Tax Secrets,"Target player reveals their hand, choose a card from it, that player discards that card unless they pay X mana.",X,Spell,Action,,,,
Thinkydink,"Discard a card, then draw two cards.",2,Spell,Action,,,,
Tidal Spider,"While it is not your turn, this unit gains 3 attack.",3,Unit,Spider,0,5,,
Time Eddy,"Look at the top 4 cards of the deck, draw one and put the remainders back in any order.",3,Spell,Reaction,,,,
Time Pop,Put target unit on top of the deck.,4,Spell,Reaction,,,,
Timeshift,"Counter target card, put that card on top of the deck.",3,Spell,Reaction,,,,
Timewave,Put target unit on top of the deck.,3,Spell,Action,,,,
Timid Copybeast,This unit enters the field as a copy of target unit.,4,Unit,Copybeast,0,0,"""I am everything, and nothing.""",
Tomekeeper,Upon Entering The Field - Return target spell from the discard to your hand.,4,Unit,Leafborn Wizard,1,2,,
Trample,"Units you control gain X attack until the end of turn, where X is the greatest attack among units you control.",5,Spell,Action,,,,
Trebuchet,Action - Exhaust: Destroy target building.,4,Unit,Siege Weapon,0,2,"""If only there was an easy way to move this 90kg boulder up to 300 meters away.""",
Tunnel Pengin,Surprise - 5 Mana. Upon Entering The Field - Target non-Pengin unit you control leaves and re-enters the field.,4,Unit,Pengin,2,4,,
Unholy Plague,"Destroy all units, then return a unit from the discard to the field.",7,Spell,Action,,,,
Virus,Deal 15 damage to each unit. This costs 2 less mana for each unit on the field.,15,Spell,Action,,,"""I feel fine.""",
Wall,Each unit your opponents control cannot attack unless its owner pays 2 mana.,3,Building,Wall,0,3,,
